payload,source,destination,protocol
90,192.168.153.130,211.233.40.78,IP
90,211.233.40.78,192.168.153.130,IP
90,192.168.153.141,103.47.76.177,IP
42,192.168.153.141,103.47.76.177,IP
60,192.168.153.141,103.47.76.177,IP
90,103.47.76.177,192.168.153.141,IP
175,192.168.153.1,192.168.153.255,IP
60,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
60,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
60,192.168.153.1,192.168.153.255,IP
60,192.168.153.1,192.168.153.255,IP
98,192.168.153.141,192.168.153.130,IP
98,192.168.153.130,192.168.153.141,IP
98,192.168.153.141,192.168.153.130,IP
98,192.168.153.130,192.168.153.141,IP
98,192.168.153.141,192.168.153.130,IP
98,192.168.153.130,192.168.153.141,IP
98,192.168.153.141,192.168.153.130,IP
98,192.168.153.130,192.168.153.141,IP
98,192.168.153.141,192.168.153.130,IP
98,192.168.153.130,192.168.153.141,IP
98,192.168.153.141,192.168.153.130,IP
98,192.168.153.130,192.168.153.141,IP
60,192.168.153.130,192.168.153.141,IP
60,192.168.153.130,192.168.153.141,IP
98,192.168.153.141,192.168.153.130,IP
98,192.168.153.130,192.168.153.141,IP
90,192.168.153.130,211.233.40.78,IP
90,211.233.40.78,192.168.153.130,IP
175,192.168.153.1,192.168.153.255,IP
60,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
90,192.168.153.130,211.233.40.78,IP
175,192.168.153.1,192.168.153.255,IP
90,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
175,192.168.153.1,192.168.153.255,IP
90,192.168.153.130,211.233.40.78,IP
90,211.233.40.78,192.168.153.130,IP
60,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
175,192.168.153.1,192.168.153.255,IP
90,192.168.153.130,211.233.40.78,IP
90,211.233.40.78,192.168.153.130,IP
90,192.168.153.141,103.47.76.177,IP
90,103.47.76.177,192.168.153.141,IP
60,103.47.76.177,192.168.153.141,IP
42,103.47.76.177,192.168.153.141,IP
175,192.168.153.1,192.168.153.255,IP
42,192.168.153.1,192.168.153.255,IP
90,192.168.153.130,211.233.40.78,IP
90,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
60,211.233.40.78,192.168.153.130,IP
42,211.233.40.78,192.168.153.130,IP
110,192.168.153.1,192.168.153.2,IP
110,192.168.153.1,192.168.153.2,IP
42,192.168.153.1,192.168.153.2,IP
42,192.168.153.1,192.168.153.2,IP
